id	ean	category	quantity	notsent	name	cnName	lastWeek
470	4250755337180	CUBITO_CU	2	0	CU32-A(CUBITO32-A)/TG1911-A	CU32A	0|0|0|0|0
471	4250755301068	KA,Deleted-element	0	0	KA05D	T6660-D	0|0|0|0|0
472	4250755330204	WB-Keramik	9	1	Brüssel102	CH102/X102/HS7075	31|11|4|4|0
473	4250755301099	Armatur-KA	2	1	KA11D	T6671-D	10|6|4|1|0
474	4250755307022	Deleted-element	0	0	WA02XL	T6364-28	0|0|0|0|0
475	4250755307220	Armatur-WA	3	0	WA60	T6806	2|0|0|0|0
476	4250755330082	WB-Keramik	12	0	Brüssel820	CH820/X46-2	9|5|3|2|1
477	4250755335223	Deleted-element	0	0	RDK806	DP806	0|0|0|0|0
478	4250755301020	KA,Deleted-element	0	0	KA01N/KONSTANZ01	T6540NEW	0|0|0|0|0
479	4250755307213	Deleted-element	0	0	WA59	T6802	16|0|0|0|0
481	4250755335094	Deleted-element	0	0	EV01 3/8 ZOLL	N.A.	0|0|0|0|0
482	4250755340289	Deleted-element	0	0	DT210	dt210	0|0|0|0|0
483	4250755340265	Deleted-element	0	0	ct216	MOB	0|0|0|0|0
484	4250755340272	Deleted-element	0	0	TT224	MOB	0|0|0|0|0
485	4250755301228	KA,Deleted-element	3	0	KA25	T6801	0|0|0|0|0
486	4250755330013	WB-Keramik	47	2	Brüssel709	CH709/HY5101	87|8|4|4|2
487	4250755330020	WB-Keramik	9	1	Brüssel712	CH712/HY4707	20|1|0|0|0
489	4250755307169	Deleted-element	0	0	WA53	T6707	0|0|0|0|0
490	4250755307107	Deleted-element	0	0	WA41	T6537	0|0|0|0|0
492	4250755326191	Deleted-element	0	0	DS16	DS16	0|0|0|0|0
493	4250755307251	Armatur-WA	1	0	WA61/FRANCFORT61	WA61/S-213A	0|0|0|0|0
496	4250755301129	KA,Deleted-element	0	0	KA12D NG	KA12DNG	0|0|0|0|0
499	4250755335438	Deleted-element	0	0	KBA01	KBA01	0|0|0|0|0
